project,HASH,DATE,Cyclomatic,PreDays,LA,LD,SIZE,SAME,CUR_file,PREV_file,Top_NS,Bottom_NS,NF,File_entropy,Churn_entropy,NC,NFC,Fuzzy_score,NB_score,NBM_score,DMN_score,COMP_score,crash_label
BrandroidTools_OpenExplorer,0b1101ecec6d2bc5d93ae8454bc79d530349212c,2012-01-31,5368,3.0,17,6,25091,4,4,13,1,3,3,1.58496250072116,1.32578478120333,3,0,0.4999991998945865,0.7502794753846886,0.7502794753846886,0.7502794753846886,0.9465190450667468,NON_CRASH
BrandroidTools_OpenExplorer,e68a9b980bc77ee9153ef0da42207866bb6b0e18,2012-02-03,5416,3.0,182,62,25342,4,10,4,1,3,5,2.32192809488736,2.01546503222937,5,0,0.500000948155876,0.7348993939321412,0.7348993939321412,0.7348993939321412,0.942295638974616,NON_CRASH
BrandroidTools_OpenExplorer,dd83806cb361184d7c8c22408e15cf387023a74a,2012-02-04,5453,1.0,85,54,25449,10,14,10,1,3,3,1.5,1.35311974934219,4,0,0.4936966068716791,0.194697000898674,0.194697000898674,0.194697000898674,0.5874873906521458,NON_CRASH
BrandroidTools_OpenExplorer,9ba02769669d536df0892bb58355223e89f94421,2012-02-06,5453,2.0,0,0,25449,0,0,14,0,0,0,0.0,0.0,0,0,0.5000000100451046,0.9312381120292794,0.9312381120292794,0.9312381120292794,0.9876309444096526,NON_CRASH
BrandroidTools_OpenExplorer,1bbf5c8621c1a6124398bc1846bbcccc11cc85de,2012-02-08,5508,2.0,608,275,25651,0,19,0,1,4,12,3.43162356584743,2.61126494051056,19,0,0.5002191553342216,0.9755963902017982,0.9755963902017982,0.9755963902017982,0.9957715400558008,NON_CRASH
BrandroidTools_OpenExplorer,acbef3109448b0fb9217ecbde5369923ffa5b47c,2012-02-14,5694,6.0,343,196,26420,16,16,19,1,3,5,2.15563906222957,1.65869609140031,8,0,0.4999910193597569,0.1151320882805618,0.1151320882805618,0.1151320882805618,0.4341073770956168,NON_CRASH
BrandroidTools_OpenExplorer,e509cc04c15fcc9b52cc24ed4d889f600ccacadb,2012-02-16,5980,2.0,328,20,27907,16,23,16,1,6,8,3.0,1.56157388076245,8,0,0.4999999998379007,0.0021184880642357,0.0021184880642357,0.0021184880642357,0.0123512507704819,NON_CRASH
BrandroidTools_OpenExplorer,b4f59242ec721e2908e4a04ad52a027fb64e5065,2012-02-21,5835,5.0,251,362,27048,23,23,23,1,6,11,3.41829583405449,2.48521590482575,12,0,0.4995287740659383,0.725222358108032,0.725222358108032,0.725222358108032,0.9396168446936084,CRASH
BrandroidTools_OpenExplorer,15518ec66e0f48b4d8200f3825e0751f5bddf9a7,2012-02-23,5856,2.0,77,10,27121,7,7,23,1,2,2,1.0,0.9653168212009,2,0,0.5000001305599878,0.1756440804422835,0.1756440804422835,0.1756440804422835,0.5567798169126887,CRASH
BrandroidTools_OpenExplorer,d4fcc3117c3662d212f6e6b767e7c3d0cbde65d2,2012-03-02,9818,8.0,918,35,45317,7,155,7,1,7,9,3.08496250072116,2.24194011342883,12,0,0.499796281400715,0.5928784270066211,0.5928784270066211,0.5928784270066211,0.8956803080722253,NON_CRASH
